sampleID	dip_depth	ref_genome	settings
LP0026_26_L004	-1.36	0memhg38	False40
LP0025_15_L003	0.53	0memhg38	False40
LP0029_06_L003	0.22	0memhg38	False40
LP0025_24_L003	0.27	0memhg38	False40
LP0025_04_L004	-0.47	0memhg38	False40
LP0026_07_L003	0.86	0memhg38	False40
LP0029_05_L004	-0.51	0memhg38	False40
LP0020_01	2.29	0memhg38	False40
LP0025_08_L004	-0.1	0memhg38	False40
LP0020_04	0.58	0memhg38	False40
LP0028_01_L004	0.31	0memhg38	False40
LP0025_11_L003	0.48	0memhg38	FalseDI26830XA
LP0025_06_L003	0.14	0memhg38	FalseDI26830XA
LP0030_05_L004	0.21	0memhg38	FalseDI26830XA
LP0030_03_L004	-2.08	0memhg38	FalseDI26830XA
LP0020_03	-0.05	0memhg38	FalseDI26830XA
LP0020_06	0.31	0memhg38	FalseDI26830XA
LP0025_07_L004	-0.12	0memhg38	FalseDI26830XA
LP0025_12_L003	0.18	0memhg38	FalseDI26830XA
LP0025_17_L003	0.58	0memhg38	FalseDI26830XA
LP0026_22_L003	-1.05	0memhg38	FalseDI26830XA
LP0025_05_L003	-1.39	0memhg38	FalseDI26830XA
LP0027_39_L003	0.2	0memhg38	FalseDI26830XA
LP0025_03_L003	-0.12	0memhg38	FalseDI26830XA
LP0020_07	-0.56	0memhg38	FalseDI26830XA
LP0026_05_L003	0.59	0memhg38	FalseDI26830XA
LP0025_01_L004	-0.19	0memhg38	FalseDI26830XA
LP0025_21_L004	-0.22	0memhg38	FalseDI26830XA
LP0027_26_L003	-1.07	0memhg38	FalseDI26830XA
LP0020_08	0.93	0memhg38	FalseDI26830XA
LP0027_35_L003	-0.95	0memhg38	FalseDI26830XA
LP0026_42_L004	-1.13	0memhg38	FalseDI26830XA
LP0026_38_L004	-0.97	0memhg38	FalseDI26830XA
LP0025_02_L004	-1.66	0memhg38	FalseDI26830XA
LP0026_08_L003	0.09	0memhg38	FalseDI26830XA
LP0025_10_L003	-1.88	0memhg38	FalseDI26830XA
LP0029_02_L004	1.44	0memhg38	FalseDI26830XA
LP0020_02	-1.48	0memhg38	FalseDI26830XA
LP0029_04_L003	0.66	0memhg38	FalseDI26830XA
LP0020_05	0.64	0memhg38	FalseDI26830XA
LP0026_26_L004	-1.22	0memhg38	FalseDI26830XA
LP0025_15_L003	0.24	0memhg38	FalseDI26830XA
LP0029_06_L003	0.27	0memhg38	FalseDI26830XA
LP0025_24_L003	0.34	0memhg38	FalseDI26830XA
LP0025_04_L004	-0.41	0memhg38	FalseDI26830XA
LP0026_07_L003	0.76	0memhg38	FalseDI26830XA
LP0029_05_L004	-0.53	0memhg38	FalseDI26830XA
LP0020_01	2.15	0memhg38	FalseDI26830XA
LP0025_08_L004	0.07	0memhg38	FalseDI26830XA
LP0020_04	0.52	0memhg38	FalseDI26830XA
LP0028_01_L004	0.44	0memhg38	FalseDI26830XA
LP0025_11_L003	0.43	0memhg38	True40
LP0025_06_L003	0.13	0memhg38	True40
LP0030_05_L004	0.26	0memhg38	True40
LP0030_03_L004	-2.2	0memhg38	True40
LP0020_03	-0.45	0memhg38	True40
LP0020_06	-0.05	0memhg38	True40
LP0025_07_L004	-0.35	0memhg38	True40
LP0025_12_L003	0.56	0memhg38	True40
LP0025_17_L003	1.27	0memhg38	True40
LP0026_22_L003	-0.96	0memhg38	True40
LP0025_05_L003	-1.53	0memhg38	True40
LP0027_39_L003	0.34	0memhg38	True40
LP0025_03_L003	-0.38	0memhg38	True40
LP0020_07	-0.36	0memhg38	True40
LP0026_05_L003	0.73	0memhg38	True40
LP0025_01_L004	0.21	0memhg38	True40
LP0025_21_L004	0.03	0memhg38	True40
LP0027_26_L003	-1.5	0memhg38	True40
LP0020_08	1.16	0memhg38	True40
LP0027_35_L003	-0.78	0memhg38	True40
LP0026_42_L004	-0.88	0memhg38	True40
LP0026_38_L004	-0.77	0memhg38	True40
LP0025_02_L004	-1.7	0memhg38	True40
LP0026_08_L003	0.36	0memhg38	True40
LP0025_10_L003	-2.14	0memhg38	True40
LP0029_02_L004	1.52	0memhg38	True40
LP0020_02	-1.17	0memhg38	True40
LP0029_04_L003	0.58	0memhg38	True40
LP0020_05	0.97	0memhg38	True40
LP0026_26_L004	-1.44	0memhg38	True40
LP0025_15_L003	0.73	0memhg38	True40
LP0029_06_L003	0.03	0memhg38	True40
LP0025_24_L003	0.11	0memhg38	True40
LP0025_04_L004	-0.39	0memhg38	True40
LP0026_07_L003	1.27	0memhg38	True40
LP0029_05_L004	-0.38	0memhg38	True40
LP0020_01	1.9	0memhg38	True40
LP0025_08_L004	0.24	0memhg38	True40
LP0020_04	0.56	0memhg38	True40
LP0028_01_L004	0.22	0memhg38	True40
LP0025_11_L003	0.56	0memhg38	TrueDI26830XA
LP0025_06_L003	0.22	0memhg38	TrueDI26830XA
LP0030_05_L004	0.43	0memhg38	TrueDI26830XA
