sample	tumor_fraction
	sample_id
LP0026_38_L004	0.253	0memhg38-TrueDI26830XA
LP0026_42_L004	0.1204	0memhg38-TrueDI26830XA
LP0027_26_L003	0.1231	0memhg38-TrueDI26830XA
LP0027_35_L003	0.2378	0memhg38-TrueDI26830XA
LP0027_39_L003	0.1577	0memhg38-TrueDI26830XA
LP0028_01_L004	0.2707	0memhg38-TrueDI26830XA
LP0029_02_L004	0.00875	0memhg38-TrueDI26830XA
LP0029_04_L003	0.01354	0memhg38-TrueDI26830XA
LP0029_05_L004	0.006318	0memhg38-TrueDI26830XA
LP0029_06_L003	0	0memhg38-TrueDI26830XA
LP0030_03_L004	0.005077	0memhg38-TrueDI26830XA
LP0030_05_L004	0.008322	0memhg38-TrueDI26830XA
LP0020_01	0.0175	0memhg38noalt-False40
LP0020_02	0.03368	0memhg38noalt-False40
LP0020_03	0.0329	0memhg38noalt-False40
LP0020_04	0.04279	0memhg38noalt-False40
LP0020_05	0.01596	0memhg38noalt-False40
LP0020_06	0.02078	0memhg38noalt-False40
LP0020_07	0.02271	0memhg38noalt-False40
LP0020_08	0	0memhg38noalt-False40
LP0025_01_L004	0.003543	0memhg38noalt-False40
LP0025_02_L004	0.0132	0memhg38noalt-False40
LP0025_03_L003	0.007059	0memhg38noalt-False40
LP0025_04_L004	0.006227	0memhg38noalt-False40
LP0025_05_L003	0.01732	0memhg38noalt-False40
LP0025_06_L003	0.008902	0memhg38noalt-False40
LP0025_07_L004	0.01197	0memhg38noalt-False40
LP0025_08_L004	0.003295	0memhg38noalt-False40
LP0025_10_L003	0.002082	0memhg38noalt-False40
LP0025_11_L003	0.02015	0memhg38noalt-False40
LP0025_12_L003	0.02883	0memhg38noalt-False40
LP0025_15_L003	0.1296	0memhg38noalt-False40
LP0025_17_L003	0.06689	0memhg38noalt-False40
LP0025_21_L004	0.1892	0memhg38noalt-False40
LP0025_24_L003	0.007534	0memhg38noalt-False40
LP0026_05_L003	0.02673	0memhg38noalt-False40
LP0026_07_L003	0.05913	0memhg38noalt-False40
LP0026_08_L003	0.342	0memhg38noalt-False40
LP0026_22_L003	0.4419	0memhg38noalt-False40
LP0026_26_L004	0.6453	0memhg38noalt-False40
LP0026_38_L004	0.254	0memhg38noalt-False40
LP0026_42_L004	0.119	0memhg38noalt-False40
LP0027_26_L003	0.1225	0memhg38noalt-False40
LP0027_35_L003	0.2385	0memhg38noalt-False40
LP0027_39_L003	0.1621	0memhg38noalt-False40
LP0028_01_L004	0.2692	0memhg38noalt-False40
LP0029_02_L004	0.01158	0memhg38noalt-False40
LP0029_04_L003	0.01575	0memhg38noalt-False40
LP0029_05_L004	0.01006	0memhg38noalt-False40
LP0029_06_L003	0.006364	0memhg38noalt-False40
LP0030_03_L004	0.006018	0memhg38noalt-False40
LP0030_05_L004	0.008333	0memhg38noalt-False40
LP0020_01	0.01711	0memhg38noalt-FalseDI26830XA
LP0020_02	0.03066	0memhg38noalt-FalseDI26830XA
LP0020_03	0.0373	0memhg38noalt-FalseDI26830XA
LP0020_04	0.04254	0memhg38noalt-FalseDI26830XA
LP0020_05	0	0memhg38noalt-FalseDI26830XA
LP0020_06	0.02392	0memhg38noalt-FalseDI26830XA
LP0020_07	0.02284	0memhg38noalt-FalseDI26830XA
LP0020_08	0	0memhg38noalt-FalseDI26830XA
LP0025_01_L004	0.0025	0memhg38noalt-FalseDI26830XA
LP0025_02_L004	0.01041	0memhg38noalt-FalseDI26830XA
LP0025_03_L003	0	0memhg38noalt-FalseDI26830XA
LP0025_04_L004	0.006375	0memhg38noalt-FalseDI26830XA
LP0025_05_L003	0.01753	0memhg38noalt-FalseDI26830XA
LP0025_06_L003	0.008343	0memhg38noalt-FalseDI26830XA
LP0025_07_L004	0.01036	0memhg38noalt-FalseDI26830XA
