sampleID	Tumor.Fraction	ref_genome	settings
LP0020_02	0.01218	0memhg38	TrueDI26830XA
LP0020_03	0.01654	0memhg38	TrueDI26830XA
LP0020_04	0	0memhg38	TrueDI26830XA
LP0020_05	0.01413	0memhg38	TrueDI26830XA
LP0020_06	0.01692	0memhg38	TrueDI26830XA
LP0020_07	0.01666	0memhg38	TrueDI26830XA
LP0020_08	0.01827	0memhg38	TrueDI26830XA
LP0025_01_L004	0	0memhg38	TrueDI26830XA
LP0025_02_L004	0.01597	0memhg38	TrueDI26830XA
LP0025_03_L003	0.01587	0memhg38	TrueDI26830XA
LP0025_04_L004	0	0memhg38	TrueDI26830XA
LP0025_05_L003	0.02045	0memhg38	TrueDI26830XA
LP0025_06_L003	0.02009	0memhg38	TrueDI26830XA
LP0025_07_L004	0.01355	0memhg38	TrueDI26830XA
LP0025_08_L004	0.01324	0memhg38	TrueDI26830XA
LP0025_10_L003	0.8396	0memhg38	TrueDI26830XA
LP0025_11_L003	0.02192	0memhg38	TrueDI26830XA
LP0025_12_L003	0.01707	0memhg38	TrueDI26830XA
LP0025_15_L003	0.08723	0memhg38	TrueDI26830XA
LP0025_17_L003	0.03131	0memhg38	TrueDI26830XA
LP0025_21_L004	0.1077	0memhg38	TrueDI26830XA
LP0025_24_L003	0.01312	0memhg38	TrueDI26830XA
LP0026_05_L003	0.02435	0memhg38	TrueDI26830XA
LP0026_07_L003	0.01685	0memhg38	TrueDI26830XA
LP0026_08_L003	0.283	0memhg38	TrueDI26830XA
LP0026_22_L003	0.2213	0memhg38	TrueDI26830XA
LP0026_26_L004	0.4459	0memhg38	TrueDI26830XA
LP0026_38_L004	0.1539	0memhg38	TrueDI26830XA
LP0026_42_L004	0.1412	0memhg38	TrueDI26830XA
LP0027_26_L003	0.1213	0memhg38	TrueDI26830XA
LP0027_35_L003	0.1592	0memhg38	TrueDI26830XA
LP0027_39_L003	0.1638	0memhg38	TrueDI26830XA
LP0028_01_L004	0.1226	0memhg38	TrueDI26830XA
LP0029_02_L004	0.008875	0memhg38	TrueDI26830XA
LP0029_04_L003	0.01103	0memhg38	TrueDI26830XA
LP0029_05_L004	0	0memhg38	TrueDI26830XA
LP0029_06_L003	0.009923	0memhg38	TrueDI26830XA
LP0030_03_L004	0.01125	0memhg38	TrueDI26830XA
LP0030_05_L004	0.02185	0memhg38	TrueDI26830XA
LP0020_01	0.009712	0memhg38noalt	False40
LP0020_02	0.01911	0memhg38noalt	False40
LP0020_03	0.01548	0memhg38noalt	False40
LP0020_04	0.01526	0memhg38noalt	False40
LP0020_05	0.02088	0memhg38noalt	False40
LP0020_06	0.01456	0memhg38noalt	False40
LP0020_07	0.01516	0memhg38noalt	False40
LP0020_08	0.01703	0memhg38noalt	False40
LP0025_01_L004	0.01071	0memhg38noalt	False40
LP0025_02_L004	0.01513	0memhg38noalt	False40
LP0025_03_L003	0.01231	0memhg38noalt	False40
LP0025_04_L004	0.01018	0memhg38noalt	False40
LP0025_05_L003	0.02225	0memhg38noalt	False40
LP0025_06_L003	0.01824	0memhg38noalt	False40
LP0025_07_L004	0.01241	0memhg38noalt	False40
LP0025_08_L004	0.01251	0memhg38noalt	False40
LP0025_10_L003	0.8355	0memhg38noalt	False40
LP0025_11_L003	0.02033	0memhg38noalt	False40
LP0025_12_L003	0.01409	0memhg38noalt	False40
LP0025_15_L003	0.08276	0memhg38noalt	False40
LP0025_17_L003	0.03014	0memhg38noalt	False40
