sampleID	tMAD_vs_control	ref_genome	settings
LP0025_01_L004	0.00754188466273237	0memhg38	FalseDI26830XA
LP0025_02_L004	0.00881823474378685	0memhg38	FalseDI26830XA
LP0025_03_L003	0.00672550916264643	0memhg38	FalseDI26830XA
LP0025_04_L004	0.00922772634908932	0memhg38	FalseDI26830XA
LP0025_07_L004	0.0119124510104477	0memhg38	FalseDI26830XA
LP0025_08_L004	0.0060302116666452	0memhg38	FalseDI26830XA
LP0029_02_L004	0.0096432857347258	0memhg38	FalseDI26830XA
LP0029_04_L003	0.00672687461447453	0memhg38	FalseDI26830XA
LP0029_05_L004	0.00772187500000001	0memhg38	FalseDI26830XA
LP0029_06_L003	0.00881959997308323	0memhg38	FalseDI26830XA
LP0030_03_L004	0.00404488509315383	0memhg38	FalseDI26830XA
LP0030_05_L004	0.013899375	0memhg38	FalseDI26830XA
LP0025_05_L003	0.00712452167120781	0memhg38	FalseDI26830XA
LP0025_06_L003	0.00533115540625536	0memhg38	FalseDI26830XA
LP0025_10_L003	0.0387149782485312	0memhg38	FalseDI26830XA
LP0025_11_L003	0.00952492580205397	0memhg38	FalseDI26830XA
LP0025_12_L003	0.0127083137065393	0memhg38	FalseDI26830XA
LP0025_15_L003	0.0318964404288461	0memhg38	FalseDI26830XA
LP0025_17_L003	0.0068491123269315	0memhg38	FalseDI26830XA
LP0025_21_L004	0.0608921348220935	0memhg38	FalseDI26830XA
LP0025_24_L003	0.00871117791029807	0memhg38	FalseDI26830XA
LP0026_05_L003	0.0221743888126732	0memhg38	FalseDI26830XA
LP0026_07_L003	0.0134699070150208	0memhg38	FalseDI26830XA
LP0026_08_L003	0.196106101172536	0memhg38	FalseDI26830XA
LP0026_22_L003	0.022199224333244	0memhg38	FalseDI26830XA
LP0026_26_L004	0.0543764126056014	0memhg38	FalseDI26830XA
LP0026_38_L004	0.0481248288198154	0memhg38	FalseDI26830XA
LP0026_42_L004	0.106190246423817	0memhg38	FalseDI26830XA
LP0027_26_L003	0.056857372452266	0memhg38	FalseDI26830XA
LP0027_35_L003	0.0562702888355263	0memhg38	FalseDI26830XA
LP0027_39_L003	0.0332189490691114	0memhg38	FalseDI26830XA
LP0028_01_L004	0.060230625	0memhg38	FalseDI26830XA
LP0020_01	0.0102306126618787	0memhg38	True40
LP0020_02	0.00681902812376519	0memhg38	True40
LP0020_03	0.0103163434678717	0memhg38	True40
LP0020_04	0.0167611902308715	0memhg38	True40
LP0020_05	0.00891073244911143	0memhg38	True40
LP0020_06	0.00790585613732116	0memhg38	True40
LP0020_07	0.0119131352979531	0memhg38	True40
LP0020_08	0.00860785769293735	0memhg38	True40
LP0025_01_L004	0.00772187499999999	0memhg38	True40
LP0025_02_L004	0.0106069435907066	0memhg38	True40
LP0025_03_L003	0.00782664977140609	0memhg38	True40
LP0025_04_L004	0.00782460025602371	0memhg38	True40
LP0025_07_L004	0.00891925680122656	0memhg38	True40
LP0025_08_L004	0.00932635658350777	0memhg38	True40
LP0029_02_L004	0.00473995062492218	0memhg38	True40
LP0029_04_L003	0.0112137365400918	0memhg38	True40
LP0029_05_L004	0.00683814760752954	0memhg38	True40
LP0029_06_L003	0.00911896166664519	0memhg38	True40
LP0030_03_L004	0.00892096333995888	0memhg38	True40
LP0030_05_L004	0.00812213859789472	0memhg38	True40
LP0025_05_L003	0.00572471344527248	0memhg38	True40
LP0025_06_L003	0.0127393551154907	0memhg38	True40
LP0025_10_L003	0.0420036831803507	0memhg38	True40
LP0025_11_L003	0.0113303777468553	0memhg38	True40
LP0025_12_L003	0.00962138490578586	0memhg38	True40
